#,Wine,Country,Region,Classification,Style,Grapes
42,Alexandria,Egypt,Alexandria,Regional,Red,Grenache; Bobal
43,Alexandria Lakes,United States,Minnesota,AVA,Red,Frontenac
44,Alezio,Italy,Puglia,DOC,Rosé,Negroamaro
45,Alghero,Italy,Sardinia,DOC,Red,Cabernet Sauvignon; Cagnulari
46,Alicante,Spain,Levante,DO,Red,Monastrell
47,Almansa,Spain,Levante,DO,Red,Garnacha Tintorera
48,Aloxe-Corton,France,Burgundy (Côte de Beaune),AOC,Red,Pinot Noir
49,Alpine Valleys,Australia,Victoria,GI,Red,Sangiovese; Merlot
50,Alsace,France,Alsace,AOC,White,Riesling; Gewurztraminer; Pinot Gris
51,Alsace Grand Cru,France,Alsace,AOC Grand Cru,White,Riesling; Gewurztraminer; Pinot Gris; Muscat
52,Alsace Sélection de Grains Nobles,France,Alsace,AOC,Sweet White,Riesling; Gewurztraminer; Pinot Gris
53,Alsace Vendanges Tardives,France,Alsace,AOC,Sweet White,Riesling; Gewurztraminer; Pinot Gris
54,Alta Langa,Italy,Piedmont,DOCG,Sparkling,Pinot Nero; Chardonnay
55,Alta Mesa,United States,California (Central Valley),AVA,Red,Zinfandel
56,Altenberg de Bergbieten,France,Alsace,AOC Grand Cru,White,Riesling
57,Altenberg de Bergheim,France,Alsace,AOC Grand Cru,White,Riesling; Gewurztraminer
58,Altenberg de Wolxheim,France,Alsace,AOC Grand Cru,White,Riesling
59,Alto Adige (Südtirol),Italy,Trentino-Alto Adige,DOC,White,Pinot Grigio; Gewürztraminer; Sauvignon
60,Alto Adige Lagrein,Italy,Trentino-Alto Adige,DOC,Red,Lagrein
61,Alto Adige Meranese,Italy,Trentino-Alto Adige,DOC,Red,Schiava
62,Alto Adige Santa Maddalena,Italy,Trentino-Alto Adige,DOC,Red,Schiava; Lagrein
63,Alto Adige Terlano,Italy,Trentino-Alto Adige,DOC,White,Pinot Bianco; Chardonnay
64,Alto Adige Valle Isarco,Italy,Trentino-Alto Adige,DOC,White,Sylvaner; Kerner; Riesling
65,Alto Maipo,Chile,Central Valley,DO,Red,Cabernet Sauvignon
66,Altos de Pinto Bandeira,Brazil,Rio Grande do Sul,DO,Sparkling,Chardonnay; Pinot Noir
67,Altos Montes,Brazil,Rio Grande do Sul,IP,Red,Merlot
68,Altus,United States,Arkansas,AVA,Red,Cynthiana
69,Amador County,United States,California (Sierra Foothills),AVA,Red,Zinfandel
70,Amaicha del Valle,Argentina,Tucumán,GI,White,Torrontés
71,Amarone della Valpolicella,Italy,Veneto,DOCG,Red,Corvina; Rondinella; Molinara
72,Ambalavao,Madagascar,Fianarantsoa,Regional,White,Villard
73,Ambelitis,Cyprus,Paphos,Regional,White,Xynisteri
74,Ambonnay,France,Champagne,Grand Cru village,Sparkling,Pinot Noir
75,Amigne de Vétroz,Switzerland,Valais,AOC,White,Amigne
76,Amontillado,Spain,Andalusia,DO,Fortified,Palomino
77,Amyndeon,Greece,Macedonia,PDO,Red,Xinomavro
78,Anapa,Russia,Krasnodar,PGI,Sparkling,Chardonnay; Riesling
79,Anchialos,Greece,Thessaly,PDO,White,Roditis; Savatiano
80,Ancient Lakes of Columbia Valley,United States,Washington,AVA,White,Riesling; Chardonnay
81,Anderson Valley,United States,California (Mendocino),AVA,Red,Pinot Noir; Chardonnay
82,Angad,Morocco,Oriental,AOG,Red,Carignan
83,Anjou,France,Loire (Anjou-Saumur),AOC,Red,Cabernet Franc
84,Anjou Blanc,France,Loire (Anjou-Saumur),AOC,White,Chenin Blanc
85,Anjou-Villages,France,Loire (Anjou-Saumur),AOC,Red,Cabernet Franc
86,Anjou-Villages Brissac,France,Loire (Anjou-Saumur),AOC,Red,Cabernet Franc
87,Ankara Kalecik,Turkey,Central Anatolia,Regional,Red,Kalecik Karası
88,Annapolis Valley,Canada,Nova Scotia,Regional,White,L'Acadie Blanc; Seyval Blanc
89,Anseong,South Korea,Gyeonggi,Regional,Red,Campbell Early
90,Antelope Valley of the California High Desert,United States,California (Southern),AVA,Red,Syrah
91,Apalta,Chile,Central Valley,DO,Red,Carmenère; Syrah
92,Applegate Valley,United States,Oregon,AVA,Red,Syrah; Tempranillo
93,Apremont,France,Savoie & Bugey,Cru,White,Jacquère
94,Aprilia,Italy,Lazio,DOC,Red,Merlot; Sangiovese
95,Arabako Mahastiak,Spain,Basque Country,VT,Red,Tempranillo
96,Arabako Txakolina,Spain,Basque Country,DO,White,Hondarrabi Zuri
97,Aragatsotn,Armenia,Aragatsotn,Regional,Red,Areni; Kakhet
98,Aragón,Spain,Navarra & Aragón,VT,Red,Garnacha
99,Ararat Valley,Armenia,Ararat,Regional,Red,Areni Noir
100,Arbin,France,Savoie & Bugey,Cru,Red,Mondeuse Noire
101,Arbois,France,Jura,AOC,Red,Poulsard; Trousseau; Pinot Noir
102,Arbois Pupillin,France,Jura,AOC,Red,Poulsard
103,Arborea,Italy,Sardinia,DOC,Red,Sangiovese
104,Arcadia,Greece,Peloponnese,PGI,White,Moschofilero
105,Archanes,Greece,Crete,PDO,Red,Kotsifali; Mandilaria
106,Arcole,Italy,Veneto,DOC,White,Garganega; Pinot Grigio
107,Areni,Armenia,Vayots Dzor,Regional,Red,Areni Noir
108,Arínzano,Spain,Navarra & Aragón,DO de Pago,Red,Tempranillo
109,Arkansas Mountain,United States,Arkansas,AVA,Red,Cynthiana
110,Arlanza,Spain,Castilla y León,DO,Red,Tempranillo
111,Armavir,Armenia,Armavir,Regional,White,Voskehat
112,Arribes,Spain,Castilla y León,DO,Red,Juan García
113,Arroyo Grande Valley,United States,California (Central Coast),AVA,Red,Pinot Noir; Chardonnay
114,Arroyo Seco,United States,California (Central Coast),AVA,White,Chardonnay; Riesling
115,Arruda,Portugal,Lisboa,DOC,Red,Castelão
116,Asolo Prosecco,Italy,Veneto,DOCG,Sparkling,Glera
117,Asprinio di Aversa,Italy,Campania,DOC,White,Asprinio
118,Assa Valley,Kazakhstan,Almaty,Regional,Red,Saperavi; Cabernet Sauvignon
119,Assisi,Italy,Umbria,DOC,Red,Sangiovese; Merlot
120,Assmannshäuser Höllenberg,Germany,Rheingau,Einzellage,Red,Spätburgunder
121,Asti Spumante,Italy,Piedmont,DOCG,Sparkling,Moscato Bianco
122,Atalanti Valley,Greece,Central Greece,PGI,Red,Syrah; Agiorgitiko
123,Ateni,Georgia,Kartli,PDO,White,Chinuri; Goruli Mtsvane
124,Atlas Peak,United States,California (Napa),AVA,Red,Cabernet Sauvignon
125,Attiki,Greece,Attica,PGI,White,Savatiano; Assyrtiko
126,Augusta,United States,Missouri,AVA,Red,Norton
127,Auslese,Germany,National,Prädikat,Sweet White,Riesling
128,Australian Tawny,Australia,National,Fortified style,Fortified,Grenache; Shiraz
129,Auxey-Duresses,France,Burgundy (Côte de Beaune),AOC,Red,Pinot Noir
130,Avize,France,Champagne,Grand Cru village,Sparkling,Chardonnay
131,Awatere Valley,New Zealand,Marlborough,GI,White,Sauvignon Blanc; Riesling
132,Aÿ,France,Champagne,Grand Cru village,Sparkling,Pinot Noir
133,Ayler Kupp,Germany,Mosel,Einzellage,White,Riesling
134,Aythaya (Taunggyi),Myanmar,Shan State,Regional,Red,Shiraz; Sauvignon Blanc
135,Ayze,France,Savoie & Bugey,Cru,Sparkling,Gringet
136,Babadag,Romania,Dobrogea,DOC,Red,Merlot; Cabernet Sauvignon
137,Babić Primošten,Croatia,Dalmatia,PDO,Red,Babić
138,Badacsony,Hungary,Balaton,PDO,White,Kéknyelű; Olaszrizling
139,Baden,Germany,Baden,Anbaugebiet,Red,Spätburgunder; Grauburgunder
140,Badische Bergstraße,Germany,Baden,Bereich,White,Riesling
141,Bagnoli Friularo,Italy,Veneto,DOCG,Red,Raboso Piave
142,Bailén,Spain,Andalusia,VT,Red,Molinera
143,Bairrada,Portugal,Bairrada,DOC,Red,Baga
144,Bairrada Espumante,Portugal,Bairrada,DOC,Sparkling,Baga; Maria Gomes
145,Balaton-felvidék,Hungary,Balaton,PDO,White,Olaszrizling; Szürkebarát
146,Balatonboglár,Hungary,Balaton,PDO,Sparkling,Chardonnay
147,Balatonfüred-Csopak,Hungary,Balaton,PDO,White,Olaszrizling
148,Ballard Canyon,United States,California (Central Coast),AVA,Red,Syrah
149,Balzers,Liechtenstein,Unterland,Regional,White,Müller-Thurgau
150,Banat,Serbia,Vojvodina,PDO,White,Kreaca
151,Bandol,France,Provence,AOC,Red,Mourvèdre; Grenache
152,Banghoek,South Africa,Coastal Region,WO,Red,Cabernet Sauvignon
153,Bannockburn,New Zealand,Central Otago,GI,Red,Pinot Noir
154,Banu Mărăcine,Romania,Oltenia,DOC,Red,Cabernet Sauvignon
155,Banyuls,France,Roussillon,AOC,Fortified,Grenache
156,Banyuls Grand Cru,France,Roussillon,AOC Grand Cru,Fortified,Grenache
157,Baranja,Croatia,Slavonia & Danube,PDO,White,Graševina
158,Barbanza e Iria,Spain,Galicia,VT,White,Albariño
159,Barbaresco,Italy,Piedmont,DOCG,Red,Nebbiolo
160,Barbera d'Alba,Italy,Piedmont,DOC,Red,Barbera
161,Barbera d'Asti,Italy,Piedmont,DOCG,Red,Barbera
162,Barbera del Monferrato,Italy,Piedmont,DOC,Red,Barbera
163,Barbera del Monferrato Superiore,Italy,Piedmont,DOCG,Red,Barbera
164,Barco Reale di Carmignano,Italy,Tuscany,DOC,Red,Sangiovese; Cabernet Sauvignon
165,Bardolino,Italy,Veneto,DOC,Red,Corvina; Rondinella
166,Bardolino Chiaretto,Italy,Veneto,DOC,Rosé,Corvina; Rondinella
167,Bardolino Superiore,Italy,Veneto,DOCG,Red,Corvina; Rondinella
168,Bargylus (Latakia Hills),Syria,Homs,Regional,Red,Cabernet Sauvignon; Merlot
169,Barletta,Italy,Puglia,DOC,Red,Nero di Troia
170,Barolo,Italy,Piedmont,DOCG,Red,Nebbiolo
171,Barossa,Australia,South Australia,GI,Red,Shiraz; Grenache
172,Barossa Valley,Australia,South Australia,GI,Red,Shiraz; Grenache
173,Barrancas,Argentina,Mendoza,GI,Red,Bonarda Argentina
174,Barrydale,South Africa,Klein Karoo,WO,Red,Syrah
175,Barsac,France,Bordeaux (Left Bank),AOC,Sweet White,Sémillon; Sauvignon Blanc
176,Basses-Laurentides,Canada,Quebec,IGP,White,Vidal
177,Bâtard-Montrachet,France,Burgundy (Côte de Beaune),AOC Grand Cru,White,Chardonnay
178,Batroun,Lebanon,Batroun,Regional,White,Obeidi; Chardonnay
179,Beamsville Bench,Canada,Ontario,VQA,White,Riesling; Chardonnay
180,Béarn,France,Southwest France,AOC,Red,Tannat; Cabernet Franc
181,Beaujolais,France,Beaujolais,AOC,Red,Gamay
182,Beaujolais Nouveau,France,Beaujolais,AOC,Red,Gamay
183,Beaujolais-Villages,France,Beaujolais,AOC,Red,Gamay
184,Beaumes-de-Venise,France,Rhône (Southern),AOC,Red,Grenache; Syrah
185,Beaumont-sur-Vesle,France,Champagne,Grand Cru village,Sparkling,Pinot Noir
186,Beaune,France,Burgundy (Côte de Beaune),AOC,Red,Pinot Noir
187,Beechworth,Australia,Victoria,GI,White,Chardonnay; Shiraz
188,Beerenauslese,Germany,National,Prädikat,Sweet White,Riesling
189,Beerenauslese Burgenland,Austria,Burgenland,Prädikat,Sweet White,Welschriesling; Chardonnay
190,Beira Interior,Portugal,Beiras,DOC,Red,Touriga Nacional; Rufete
191,Bekaa Valley,Lebanon,Bekaa Valley,Regional,Red,Cinsault; Cabernet Sauvignon; Carignan
192,Bela Krajina,Slovenia,Posavje,PDO,Sweet White,Rumeni Muškat
193,Belgrade,Serbia,Central Serbia,PDO,White,Chardonnay
194,Bell Mountain,United States,Texas,AVA,Red,Cabernet Sauvignon
195,Bellarine Peninsula,Australia,Victoria,GI,Red,Pinot Noir
196,Bellet,France,Provence,AOC,White,Rolle; Braquet
197,Ben Lomond Mountain,United States,California (Bay Area),AVA,White,Chardonnay
198,Bendigo,New Zealand,Central Otago,GI,Red,Pinot Noir
199,Beni M'Tir,Morocco,Meknès,AOG,Red,Cabernet Sauvignon; Syrah
200,Beni Sadden,Morocco,Meknès,AOG,Red,Carignan
201,Benmore Valley,United States,California (Lake),AVA,White,Chardonnay
202,Bennett Valley,United States,California (Sonoma),AVA,Red,Merlot; Syrah
203,Bergerac,France,Southwest France,AOC,Red,Merlot; Cabernet Sauvignon
204,Berkane,Morocco,Oriental,AOG,Red,Carignan; Alicante Bouschet
205,Bermet,Serbia,Vojvodina,Traditional,Fortified,Aromatized blend
206,Bernkastel,Germany,Mosel,Bereich,White,Riesling
207,Bernkasteler Doctor,Germany,Mosel,Einzellage,White,Riesling
208,Bessarabia,Ukraine,Bessarabia,PGI,Red,Cabernet Sauvignon; Saperavi
209,Betanzos,Spain,Galicia,VT,White,Godello; Agudelo
210,Betsileo,Madagascar,Fianarantsoa,Regional,Rosé,Villard; Couderc
211,Betuwe,Netherlands,Gelderland,PGI,White,Solaris; Johanniter
212,Bianchello del Metauro,Italy,Marche,DOC,White,Biancame
213,Bianco Capena,Italy,Lazio,DOC,White,Malvasia; Trebbiano
214,Bianco di Custoza,Italy,Veneto,DOC,White,Garganega; Trebbiano
215,Bianco di Pitigliano,Italy,Tuscany,DOC,White,Trebbiano Toscano; Greco
216,Bielersee,Switzerland,Three Lakes,AOC,White,Chasselas
217,Bienvenues-Bâtard-Montrachet,France,Burgundy (Côte de Beaune),AOC Grand Cru,White,Chardonnay
218,Bierzo,Spain,Castilla y León,DO,Red,Mencía
219,Biferno,Italy,Molise,DOC,Red,Montepulciano; Aglianico
220,Big Rivers,Australia,New South Wales,GI,Red,Shiraz
221,Big Valley District,United States,California (Lake),AVA,White,Sauvignon Blanc
222,Bijapur,India,Karnataka,Regional,Red,Cabernet Sauvignon
223,Bingen,Germany,Rheinhessen,Bereich,White,Riesling
224,Binissalem,Spain,Balearic Islands,DO,Red,Manto Negro
225,Bío Bío Valley,Chile,Southern Chile,DO,White,Riesling; Pinot Noir
226,Biscoitos,Portugal,Azores,DOC,Fortified,Verdelho
227,Bivongi,Italy,Calabria,DOC,Red,Gaglioppo; Greco Nero
228,Bizeljsko-Sremič,Slovenia,Posavje,PDO,White,Laški Rizling
229,Bizkaiko Txakolina,Spain,Basque Country,DO,White,Hondarrabi Zuri
230,Black Sage Bench,Canada,British Columbia,BC GI,Red,Cabernet Sauvignon; Syrah
231,Black Sea Coast,Bulgaria,Black Sea,PDO,White,Dimyat; Chardonnay
232,Blackwood Valley,Australia,Western Australia,GI,Red,Cabernet Sauvignon
233,Blagny,France,Burgundy (Côte de Beaune),AOC,Red,Pinot Noir
234,Blanc de Morgex et de La Salle,Italy,Valle d'Aosta,DOC,White,Prié Blanc
235,Blanquette de Limoux,France,Languedoc,AOC,Sparkling,Mauzac
236,Blanquette Méthode Ancestrale,France,Languedoc,AOC,Sparkling,Mauzac
237,Blatina,Bosnia and Herzegovina,Herzegovina,PDO,Red,Blatina
238,Blaye-Côtes de Bordeaux,France,Bordeaux (Right Bank),AOC,Red,Merlot; Cabernet Sauvignon
239,Boca,Italy,Piedmont,DOC,Red,Nebbiolo; Vespolina
240,Bodensee,Germany,Baden,Bereich,White,Müller-Thurgau
241,Bogdanuša Hvar,Croatia,Dalmatia,PDO,White,Bogdanuša
242,Bohotin,Romania,Moldovan Hills,DOC,Sweet Rosé,Busuioacă de Bohotin
243,Bolandin,Spain,Navarra & Aragón,DO de Pago,Red,Tempranillo; Merlot
244,Bolgheri,Italy,Tuscany,DOC,Red,Cabernet Sauvignon; Merlot; Cabernet Franc
245,Bolgheri Rosato,Italy,Tuscany,DOC,Rosé,Cabernet Sauvignon; Merlot
246,Bolgheri Sassicaia,Italy,Tuscany,DOC,Red,Cabernet Sauvignon; Cabernet Franc
247,Bolnisi,Georgia,Kartli,PDO,Red,Saperavi; Tavkveri
248,Bonarda Argentina,Argentina,National,Grape wine,Red,Bonarda Argentina
249,Bonarda dell'Oltrepò Pavese,Italy,Lombardy,DOC,Red,Croatina
250,Bonnes-Mares,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
251,Bonnezeaux,France,Loire (Anjou-Saumur),AOC,Sweet White,Chenin Blanc
252,Bonnievale,South Africa,Breede River Valley,WO,White,Chardonnay
253,Borba,Portugal,Alentejo,DOC,Red,Aragonez; Trincadeira
254,Bordeaux Blanc,France,Bordeaux,AOC,White,Sauvignon Blanc; Sémillon; Muscadelle
255,Bordeaux Clairet,France,Bordeaux,AOC,Rosé,Merlot; Cabernet Franc
256,Bordeaux Rosé,France,Bordeaux,AOC,Rosé,Merlot; Cabernet Sauvignon
257,Bordeaux Rouge,France,Bordeaux,AOC,Red,Merlot; Cabernet Sauvignon; Cabernet Franc
258,Bordeaux Supérieur,France,Bordeaux,AOC,Red,Merlot; Cabernet Sauvignon
259,Borden Ranch,United States,California (Central Valley),AVA,Red,Zinfandel
260,Bot River,South Africa,Cape South Coast,WO,Red,Syrah; Chenin Blanc
261,Botticino,Italy,Lombardy,DOC,Red,Barbera; Marzemino
262,Bourgogne,France,Burgundy,AOC,Red,Pinot Noir
263,Bourgogne Aligoté,France,Burgundy,AOC,White,Aligoté
264,Bourgogne Blanc,France,Burgundy,AOC,White,Chardonnay
265,Bourgogne Passe-Tout-Grains,France,Burgundy,AOC,Red,Gamay; Pinot Noir
266,Bourgueil,France,Loire (Touraine),AOC,Red,Cabernet Franc
267,Bouzeron,France,Burgundy (Côte Chalonnaise),AOC,White,Aligoté
268,Bouzy,France,Champagne,Grand Cru village,Sparkling,Pinot Noir
269,Brachetto d'Acqui,Italy,Piedmont,DOCG,Sparkling Red,Brachetto
270,Bramaterra,Italy,Piedmont,DOC,Red,Nebbiolo; Croatina
271,Brand,France,Alsace,AOC Grand Cru,White,Riesling; Gewurztraminer
272,Brauneberger Juffer-Sonnenuhr,Germany,Mosel,Einzellage,White,Riesling
273,Breedekloof,South Africa,Breede River Valley,WO,White,Chenin Blanc
274,Breganze,Italy,Veneto,DOC,Red,Merlot; Cabernet Sauvignon
275,Breisgau,Germany,Baden,Bereich,Red,Spätburgunder
276,Bridge Pa Triangle,New Zealand,Hawke's Bay,GI,Red,Syrah; Merlot
277,Brindisi,Italy,Puglia,DOC,Red,Negroamaro
278,Broke Fordwich,Australia,New South Wales,GI,White,Semillon
279,Brome-Missisquoi,Canada,Quebec,IGP,White,Vidal; Frontenac
280,Brouilly,France,Beaujolais,AOC Cru,Red,Gamay
281,Bruderthal,France,Alsace,AOC Grand Cru,White,Riesling; Gewurztraminer
282,Brulhois,France,Southwest France,AOC,Red,Tannat; Merlot
283,Brunello di Montalcino,Italy,Tuscany,DOCG,Red,Sangiovese Grosso
284,Bucelas,Portugal,Lisboa,DOC,White,Arinto
285,Bugey,France,Savoie & Bugey,AOC,White,Chardonnay; Altesse
286,Bugey-Cerdon,France,Savoie & Bugey,AOC,Sparkling Rosé,Gamay; Poulsard
287,Bullas,Spain,Levante,DO,Red,Monastrell
288,Bündner Herrschaft,Switzerland,Graubünden,AOC,Red,Blauburgunder
289,Burn of Columbia Valley,United States,Washington,AVA,Red,Syrah
290,Busuioacă de Bohotin,Romania,Muntenia,DOC,Sweet Rosé,Busuioacă de Bohotin
291,Butajira,Ethiopia,Rift Valley,Regional,White,Chenin Blanc
292,Buttafuoco,Italy,Lombardy,DOC,Red,Croatina; Barbera
293,Buzet,France,Southwest France,AOC,Red,Merlot; Cabernet Sauvignon
294,Buzet (Istria),Croatia,Istria & Kvarner,PDO,White,Malvazija Istarska
295,Cabardès,France,Languedoc,AOC,Red,Syrah; Merlot; Cabernet Sauvignon
296,Cabernet d'Anjou,France,Loire (Anjou-Saumur),AOC,Rosé,Cabernet Franc; Cabernet Sauvignon
297,Cabrières,France,Languedoc,AOC,Rosé,Cinsault; Syrah
298,Cacc'e Mmitte di Lucera,Italy,Puglia,DOC,Red,Nero di Troia; Montepulciano
299,Cachapoal Valley,Chile,Central Valley,DO,Red,Carmenère; Cabernet Sauvignon
300,Cadillac,France,Bordeaux (Entre-Deux-Mers),AOC,Sweet White,Sémillon; Sauvignon Blanc
301,Cadillac-Côtes de Bordeaux,France,Bordeaux (Right Bank),AOC,Red,Merlot; Cabernet Sauvignon
302,Cafayate,Argentina,Salta,GI,White,Torrontés
303,Cahors,France,Southwest France,AOC,Red,Malbec
304,Cairanne,France,Rhône (Southern),AOC,Red,Grenache; Syrah
305,Calamin,Switzerland,Vaud,Grand Cru,White,Chasselas
306,Calatayud,Spain,Navarra & Aragón,DO,Red,Garnacha
307,California Shenandoah Valley,United States,California (Sierra Foothills),AVA,Red,Zinfandel
308,California Sparkling Wine,United States,California,Regional style,Sparkling,Chardonnay; Pinot Noir
309,Calistoga,United States,California (Napa),AVA,Red,Cabernet Sauvignon; Petite Sirah
310,Calitzdorp,South Africa,Klein Karoo,WO,Fortified,Touriga Nacional; Tinta Barocca
311,Calosso,Italy,Piedmont,DOC,Red,Gamba Rossa
312,Caluso Passito,Italy,Piedmont,DOCG,Sweet White,Erbaluce
313,Calzadilla,Spain,Castilla-La Mancha,DO de Pago,Red,Syrah; Tempranillo
314,Campanha Gaúcha,Brazil,Rio Grande do Sul,IP,Red,Cabernet Sauvignon; Tannat
315,Campi Flegrei,Italy,Campania,DOC,Red,Piedirosso
316,Campidano di Terralba,Italy,Sardinia,DOC,Red,Bovale
317,Campo de Borja,Spain,Navarra & Aragón,DO,Red,Garnacha
318,Campo de Cartagena,Spain,Murcia,VT,Red,Monastrell
319,Campo de la Guardia,Spain,Castilla-La Mancha,DO de Pago,Red,Tempranillo
320,Cañamero,Spain,Extremadura,VT,White,Alarije
321,Canavese,Italy,Piedmont,DOC,Red,Nebbiolo; Barbera
322,Canberra District,Australia,New South Wales,GI,Red,Shiraz; Riesling
323,Candia dei Colli Apuani,Italy,Tuscany,DOC,White,Vermentino; Albarola
324,Candy Mountain,United States,Washington,AVA,Red,Cabernet Sauvignon
325,Canelones,Uruguay,Canelones,Regional,Red,Tannat
326,Cañete,Peru,Lima,Regional,Red,Quebranta
327,Cangas,Spain,Cantabria & Asturias,VC,Red,Albarín Negro; Verdejo Negro
328,Cannellino di Frascati,Italy,Lazio,DOCG,Sweet White,Malvasia
329,Cannonau di Sardegna,Italy,Sardinia,DOC,Red,Cannonau
330,Canon-Fronsac,France,Bordeaux (Right Bank),AOC,Red,Merlot; Cabernet Franc
331,Canterbury Plains,New Zealand,Canterbury,GI,White,Chardonnay; Riesling
332,Capalbio,Italy,Tuscany,DOC,Red,Sangiovese; Cabernet Sauvignon
333,Cape Agulhas,South Africa,Cape South Coast,WO,White,Sauvignon Blanc
334,Cape Blend,South Africa,National,Style,Red,Pinotage; Cabernet Sauvignon; Merlot
335,Cape May Peninsula,United States,New Jersey,AVA,Red,Chambourcin
336,Cape Vintage (Cape Port),South Africa,National,Style,Fortified,Touriga Nacional; Tinta Barocca
337,Cappadocia,Turkey,Central Anatolia,Regional,White,Emir
338,Capri,Italy,Campania,DOC,White,Falanghina; Greco
339,Capriano del Colle,Italy,Lombardy,DOC,Red,Marzemino; Merlot
340,Carcavelos,Portugal,Lisboa,DOC,Fortified,Galego Dourado; Arinto
341,Carema,Italy,Piedmont,DOC,Red,Nebbiolo
342,Carignano del Sulcis,Italy,Sardinia,DOC,Red,Carignano
343,Cariñena,Spain,Navarra & Aragón,DO,Red,Garnacha; Cariñena
344,Carmel Valley,United States,California (Central Coast),AVA,Red,Cabernet Sauvignon
345,Carmenère,Chile,National,Grape wine,Red,Carmenère
346,Carmignano,Italy,Tuscany,DOCG,Red,Sangiovese; Cabernet Sauvignon
347,Carnuntum,Austria,Niederösterreich,DAC,Red,Zweigelt; Blaufränkisch
348,Carora,Venezuela,Lara,Regional,Red,Tempranillo; Syrah
349,Carso,Italy,Friuli-Venezia Giulia,DOC,Red,Terrano; Refosco
350,Carso Vitovska,Italy,Friuli-Venezia Giulia,DOC,Orange,Vitovska
351,Casa del Blanco,Spain,Castilla-La Mancha,DO de Pago,Red,Cabernet Sauvignon; Syrah
352,Casablanca Valley,Chile,Aconcagua,DO,White,Sauvignon Blanc; Chardonnay
353,Cassis,France,Provence,AOC,White,Marsanne; Clairette
354,Castel del Monte,Italy,Puglia,DOC,Red,Nero di Troia; Aglianico
355,Castel del Monte Bombino Nero,Italy,Puglia,DOCG,Rosé,Bombino Nero
356,Castel del Monte Nero di Troia Riserva,Italy,Puglia,DOCG,Red,Nero di Troia
357,Castel San Lorenzo,Italy,Campania,DOC,Red,Barbera; Sangiovese
358,Casteller,Italy,Trentino-Alto Adige,DOC,Red,Schiava; Merlot
