#,Variety,Colour,Origin,Synonyms,Wines,Countries,Where grown,Note
103,Crâmpoșie Selecționată,White,Romania,,1,1,Romania,
104,Croatina,Red,Italy (Lombardy),Bonarda,12,2,Argentina; Italy,Italy's Bonarda; unrelated to Argentina's.
105,Cserszegi Fűszeres,White,Hungary,,1,1,Hungary,
106,Cynthiana,Red,United States,Norton (Arkansas),2,1,United States,Arkansas's name for Norton.
107,Dabouki,White,Levant,,1,1,Palestine,
108,Debina,White,Greece (Epirus),,2,1,Greece,
109,Delaware,Pink,United States,,2,1,Japan,"Vitis labrusca hybrid, widely grown in Japan."
110,Devín,White,Slovakia,,2,1,Slovakia,
111,Dimyat,White,Bulgaria,,2,1,Bulgaria,
112,Dolcetto,Red,Italy (Piedmont),,7,1,Italy,
113,Duras,Red,France (SW),,1,1,France,
114,Durella,White,Italy (Veneto),,2,1,Italy,
115,Early Melnik,Red,Bulgaria,,1,1,Bulgaria,
116,Elbling,White,Germany,,4,2,Germany; Luxembourg,One of the oldest varieties on the Mosel.
117,Emir,White,Turkey (Cappadocia),,1,1,Turkey,
118,Enantio,Red,Italy (Trentino),,1,1,Italy,
119,Encruzado,White,Portugal (Dão),,1,1,Portugal,
120,Erbaluce,White,Italy (Piedmont),,2,1,Italy,
121,Ezerjó,White,Hungary,,2,1,Hungary,
122,Falanghina,White,Italy (Campania),,5,1,Italy,
123,Fer Servadou,Red,France (SW),Braucol; Mansois; Pinenc,4,1,France,
124,Fernão Pires,White,Portugal,Maria Gomes,2,1,Portugal,
125,Fetească Albă,White,Romania,,7,2,Moldova; Romania,
126,Fetească Neagră,Red,Romania,,5,2,Moldova; Romania,
127,Fetească Regală,White,Romania,,3,1,Romania,A 20th-century Fetească Albă x Grasă crossing.
128,Fiano,White,Italy (Campania),,1,1,Italy,
129,Fogoneu,Red,Spain (Mallorca),,1,1,Spain,
130,Fokiano,Red,Greece,,1,1,Greece,
131,Folle Blanche,White,France,,1,1,France,
132,Forastera,White,Italy (Campania),,1,1,Italy,
133,Forastera Gomera,White,Spain (Canary Islands),,1,1,Spain,
134,Francavidda,White,Italy (Puglia),,1,1,Italy,
135,Frappato,Red,Italy (Sicily),,3,1,Italy,
136,Freisa,Red,Italy (Piedmont),,4,1,Italy,A close relative of Nebbiolo.
137,Friulano,White,Italy (Friuli),Sauvignonasse; Tocai Friulano,10,1,Italy,
138,Frontenac,Red,United States,,4,2,Canada; United States,Cold-hardy hybrid bred in Minnesota.
139,Frontenac Gris,White,United States,,1,1,United States,Colour mutation of Frontenac.
140,Frühburgunder,Red,Germany,,1,1,Germany,Early-ripening mutation of Pinot Noir.
141,Fumin,Red,Italy (Aosta),,1,1,Italy,
142,Furmint,White,Hungary,Šipon; Moslavac,14,4,Austria; Hungary; Slovakia; Slovenia,The Tokaji grape; botrytis-prone and fiercely acidic.
143,Gaglioppo,Red,Italy (Calabria),,8,1,Italy,
144,Galego Dourado,White,Portugal (Carcavelos),,1,1,Portugal,
145,Gamaret,Red,Switzerland,,1,1,Switzerland,
146,Gamay,Red,France (Burgundy),,28,2,France; Switzerland,Banished from Burgundy by decree in 1395; found its home in Beaujolais.
147,Gamay del Trasimeno,Red,Spain (Aragón),,1,1,Italy,"Grenache again, misnamed for Gamay."
148,Gamba Rossa,Red,Italy (Piedmont),,1,1,Italy,
149,Garganega,White,Italy (Veneto),,11,1,Italy,The Soave grape.
150,Ġellewża,Red,Malta,,2,1,Malta,
151,Gewurztraminer,Pink,Italy (Alto Adige),Gewürztraminer,34,4,France; Italy; New Zealand; United States,Aromatic pink-berried mutation of Savagnin.
152,Girgentina,White,Malta,,1,1,Malta,
153,Girò,Red,Italy (Sardinia),,1,1,Italy,
154,Glera,White,Italy (Veneto),Prosecco,5,2,Australia; Italy,Renamed in 2009 so that Prosecco could become a protected place name.
155,Godello,White,Spain (Galicia),,4,1,Spain,
156,Goethe,White,United States,,1,1,Brazil,Hybrid; Santa Catarina's signature.
157,Golden Muscat,White,United States,,2,1,Taiwan,
158,Goruli Mtsvane,White,Georgia (Kartli),,2,1,Georgia,
159,Gouveio,White,Portugal (Douro),Verdelho do Dão,2,1,Portugal,
160,Graciano,Red,Spain (Rioja),,3,1,Spain,
161,Grand Noir,Red,France,,1,1,Portugal,
162,Grasă de Cotnari,White,Romania,,1,1,Romania,Botrytis-prone; the Cotnari sweet-wine grape.
163,Grechetto,White,Italy (Umbria),Grechetto Gentile; Pignoletto,6,1,Italy,
164,Greco,White,Italy (Campania),Greco Bianco,6,1,Italy,
165,Greco Nero,Red,Italy (Calabria),,1,1,Italy,
166,Grenache,Red,Spain (Aragón),Garnacha; Cannonau,111,9,Algeria; Australia; Egypt; France; Italy; Morocco; South Africa; Spain; United States,
167,Grenache Blanc,White,Spain (Aragón),Garnacha Blanca,3,2,France; Spain,
168,Grignolino,Red,Italy (Piedmont),,3,1,Italy,
169,Grillo,White,Italy (Sicily),,2,1,Italy,
170,Gringet,White,France (Savoie),,1,1,France,"Grown almost only at Ayze, on a few dozen hectares."
171,Grk,White,Croatia (Korčula),,1,1,Croatia,Female-flowered; must be interplanted with another variety to fruit.
172,Grolleau,Red,France (Loire),,2,1,France,
173,Groppello,Red,Italy (Lombardy),,1,1,Italy,
174,Gros Manseng,White,France (SW),,3,1,France,
175,Grüner Veltliner,White,Austria,Veltlínské Zelené,18,4,Austria; Czechia; Slovakia; United States,
176,Gutedel,White,Switzerland,,1,1,Germany,German name for Chasselas.
177,Haghtanak,Red,Armenia,,1,1,Armenia,
178,Hamdani,White,Levant,,1,1,Palestine,
179,Hárslevelű,White,Hungary,Lipovina,5,2,Hungary; Slovakia,
180,Hibernal,White,Germany,,1,1,Poland,Hybrid.
181,Hondarrabi Zuri,White,Spain (Basque Country),,3,1,Spain,The Txakoli grape.
182,Humagne Rouge,Red,Italy (Aosta),,1,1,Switzerland,
183,Impigno,White,Italy (Puglia),,1,1,Italy,
184,Inzolia,White,Italy (Sicily),Ansonica,6,1,Italy,
185,Italia,White,Italy,,1,1,Peru,A table grape (Bicane x Muscat Hamburg) vinified in Peru.
186,Jacquère,White,France (Savoie),,8,1,France,
187,Jandali,White,Levant,,1,1,Palestine,
188,Johanniter,White,Germany,,4,2,Netherlands; Poland,Hybrid.
189,Juan García,Red,Spain (Castilla y León),,1,1,Spain,
190,Juhfark,White,Hungary (Somló),,2,1,Hungary,
191,Kadarka,Red,Hungary,Gamza,5,2,Bulgaria; Hungary,Bulgaria grows the same grape as Gamza.
192,Kakhet,Red,Armenia,,1,1,Armenia,
193,Kakotrygis,White,Greece (Corfu),,1,1,Greece,"Its name means ""hard to harvest""."
194,Kalecik Karası,Red,Turkey (Anatolia),,3,1,Turkey,
195,Kallmet,Red,Albania,,1,1,Albania,
196,Kéknyelű,White,Hungary (Badacsony),,1,1,Hungary,
197,Kerner,White,Germany,,4,2,Italy; Japan,Trollinger x Riesling.
198,Kevedinka,White,Serbia,,1,1,Serbia,
199,Kisi,White,Georgia,,1,1,Georgia,
200,Kokur,White,Ukraine (Crimea),,2,2,Russia; Ukraine,
201,Koshu,Pink,Japan,,3,1,Japan,"Pink-skinned, vinified white; carried to Japan along the Silk Road."
202,Kotsifali,Red,Greece (Crete),,3,1,Greece,
203,Krakhuna,White,Georgia (Imereti),,1,1,Georgia,
204,Krasnostop Zolotovsky,Red,Russia (Don),,1,1,Russia,
205,Krassato,Red,Greece (Thessaly),,1,1,Greece,
206,Kreaca,White,Serbia,,1,1,Serbia,
207,Krstač,White,Montenegro,,1,1,Montenegro,
208,L'Acadie Blanc,White,Canada,,4,1,Canada,Bred in Ontario; Nova Scotia's signature white.
209,Lacrima,Red,Italy (Marche),,1,1,Italy,
210,Lagrein,Red,Italy (Alto Adige),,3,1,Italy,
211,Lambrusco di Sorbara,Red,Italy (Emilia),,1,1,Italy,
212,Lambrusco Grasparossa,Red,Italy (Emilia),,2,1,Italy,
213,Lambrusco Marani,Red,Italy (Emilia),,1,1,Italy,
214,Lambrusco Salamino,Red,Italy (Emilia),,2,1,Italy,
215,Lambrusco Viadanese,Red,Italy (Lombardy),,1,1,Italy,
216,Liatiko,Red,Greece (Crete),,2,1,Greece,
217,Limnio,Red,Greece (Lemnos),,2,1,Greece,"Named by Aristotle, which makes it a candidate for the oldest named grape still grown."
218,Listán Negro,Red,Spain (Canary Islands),,3,1,Spain,
219,Longyan,White,China,,1,1,China,
220,Loureiro,White,Portugal (Minho),,6,1,Portugal,
221,Maceratino,White,Italy (Marche),,1,1,Italy,
222,Madeleine Angevine,White,France,,1,1,United States,
223,Madrasa,Red,Azerbaijan,,2,1,Azerbaijan,
224,Magliocco,Red,Italy (Calabria),,3,1,Italy,
225,Makutupora,Red,Tanzania,,1,1,Tanzania,
226,Malaga Blanc,White,Spain,,1,1,Thailand,
227,Malagousia,White,Greece,,1,1,Greece,Rescued from near-extinction in the 1970s.
228,Malbec,Red,France (Cahors),Côt,40,5,Argentina; France; Mexico; Peru; United States,Left Bordeaux for Argentina and became someone else's national grape.
229,Malvasia,White,Greece,Malvazija; Malvasía,19,5,Italy; Portugal; Slovenia; Spain; United States,"A family of related varieties, not one grape."
230,Malvasia del Lazio,White,Italy (Lazio),Malvasia Puntinata,2,1,Italy,
231,Malvasia di Candia Aromatica,White,Greece,,1,1,Italy,
232,Malvasia di Casorzo,Red,Italy (Piedmont),,1,1,Italy,
233,Malvasia di Lipari,White,Greece,,1,1,Italy,
234,Malvasia di Sardegna,White,Greece,,1,1,Italy,
235,Malvasia di Schierano,Red,Italy (Piedmont),,1,1,Italy,
236,Malvasia Fina,White,Portugal,,2,1,Portugal,
237,Malvasia Nera,Red,Italy,,2,1,Italy,
238,Malvasia Rei,White,Portugal,,1,1,Portugal,
239,Malvasía Volcánica,White,Spain (Canary Islands),,1,1,Spain,
240,Malvazija Istarska,White,Croatia (Istria),,2,1,Croatia,
241,Mandilaria,Red,Greece,,4,1,Greece,
242,Manto Negro,Red,Spain (Mallorca),,2,1,Spain,
243,Maraština,White,Croatia,,1,1,Croatia,
244,Maratheftiko,Red,Cyprus,,2,1,Cyprus,
245,Marquette,Red,United States,,4,1,United States,"Cold-hardy hybrid, a grandchild of Pinot Noir."
246,Marsanne,White,France (Rhône),,7,3,Australia; France; Switzerland,
247,Marselan,Red,France,,3,1,China,"Cabernet Sauvignon x Grenache, bred 1961; now China's calling card."
248,Marzemino,Red,Italy (Trentino),,4,1,Italy,
249,Mauzac,White,France (SW),,3,1,France,
250,Mavro,Red,Cyprus,,3,1,Cyprus,Cyprus's most planted variety.
251,Mavro Messenikola,Red,Greece (Thessaly),,1,1,Greece,
252,Mavrodaphne,Red,Greece (Patras),,2,1,Greece,
253,Mavrud,Red,Bulgaria,,3,1,Bulgaria,
254,Melon de Bourgogne,White,France (Burgundy),Muscadet,4,1,France,
255,Mencía,Red,Spain (Bierzo),Jaen,4,2,Portugal; Spain,The Jaen of Portugal's Dão is the same grape.
256,Merlot,Red,France (Bordeaux),,134,21,Australia; Brazil; Bulgaria; Canada; China; France; Israel; Italy; Japan; Jordan; Kosovo; Mexico; Moldova; New Zealand; Romania; South Africa; Spain; Switzerland; Syria; United States; Uruguay,The world's second-most planted red; early-ripening and supple.
257,Merseguera,White,Spain (Valencia),,1,1,Spain,
258,Meunier,Red,France (Champagne),Schwarzriesling; Pinot Meunier,5,3,France; Germany; United Kingdom,
259,Molette,White,France (Savoie),,1,1,France,
260,Molinara,Red,Italy (Veneto),,2,1,Italy,
261,Molinera,Red,Spain,,1,1,Spain,
262,Mondeuse Noire,Red,France (Savoie),,4,1,France,
263,Monemvasia,White,Greece,,2,1,Greece,The probable origin of the name Malvasia.
264,Monica,Red,Italy (Sardinia),,2,1,Italy,
265,Montepulciano,Red,Italy (Abruzzo),,19,1,Italy,"A grape, not the Tuscan town of the same name."
266,Montuni,White,Italy (Emilia),,1,1,Italy,
267,Moreto,Red,Portugal,,1,1,Portugal,
268,Moristel,Red,Spain (Aragón),,1,1,Spain,
269,Moscatel de Alejandría,White,Egypt,,0,0,,Spanish name for Muscat of Alexandria.
270,Moscatel Roxo,Pink,Portugal (Setúbal),,1,1,Portugal,
271,Moscato di Scanzo,Red,Italy (Lombardy),,1,1,Italy,
272,Moscato Giallo,White,Italy (Veneto),,1,1,Italy,
273,Moschofilero,Pink,Greece (Mantinia),,2,1,Greece,
274,Mourvèdre,Red,Spain (Valencia),Monastrell; Mataró,24,3,France; Spain; United States,
275,Mtsvane,White,Georgia,Mtsvane Kakhuri,4,1,Georgia,
276,Mujuretuli,Red,Georgia (Racha),,1,1,Georgia,
277,Müller-Thurgau,White,Switzerland,Rivaner,14,5,Belgium; Czechia; Germany; Liechtenstein; Luxembourg,"Riesling x Madeleine Royale, bred 1882."
278,Muscadelle,White,France (Bordeaux),,5,2,Australia; France,
279,Muscat à Petits Grains Rouge,Red,Greece,,3,1,Australia,Red-berried mutation; the Rutherglen Muscat grape.
280,Muscat Bailey A,Red,Japan,MBA,2,2,Japan; South Korea,"Bailey x Muscat Hamburg, bred in Japan in 1927."
281,Muscat Blanc à Petits Grains,White,Greece,Muscat Blanc; Moscato Bianco; Muscat; Moscato; Sárga Muskotály; Muscat de Frontignan; Moscatel Galego; Tămâioasă Românească; Temjanika,44,16,Australia; Brazil; China; France; Greece; Hungary; Italy; North Macedonia; Portugal; Romania; Russia; South Africa; Tajikistan; Thailand; Ukraine; Uzbekistan,The oldest domesticated wine grape still in wide use.
282,Muscat of Alexandria,White,Egypt,Zibibbo; Moscatel de Setúbal; Moscatel,14,8,France; Greece; Indonesia; Italy; Portugal; Spain; Tajikistan; Tunisia,
283,Muscat of Hamburg,Red,United Kingdom,,1,1,Greece,
284,Narince,White,Turkey (Tokat),,1,1,Turkey,
285,Nasco,White,Italy (Sardinia),,1,1,Italy,
286,Nebbiolo,Red,Italy (Piedmont),Chiavennasca; Spanna; Picotendro,29,2,Italy; Mexico,"Pale, tannic and long-lived — Barolo and Barbaresco are both this grape."
287,Negoska,Red,Greece (Macedonia),,1,1,Greece,
288,Negramoll,Red,Spain (Canary Islands),Negra Mole; Tinta Negra,7,2,Portugal; Spain,Madeira's Tinta Negra is generally held to be the same variety.
289,Négrette,Red,France (SW),,1,1,France,
290,Negroamaro,Red,Italy (Puglia),,14,1,Italy,
291,Nerello Cappuccio,Red,Italy (Sicily),,1,1,Italy,
292,Nerello Mascalese,Red,Italy (Sicily),Nerello,5,1,Italy,Etna's red; often compared to Nebbiolo for its perfume and tannin.
293,Nero Buono,Red,Italy (Lazio),,1,1,Italy,
294,Nero d'Avola,Red,Italy (Sicily),Calabrese,13,1,Italy,
295,Nero di Troia,Red,Italy (Puglia),Uva di Troia,7,1,Italy,
296,Nocera,Red,Italy (Sicily),,2,1,Italy,
297,Norton,Red,United States,,5,1,United States,A Vitis aestivalis hybrid; the backbone of 19th-century Missouri wine.
298,Nosiola,White,Italy (Trentino),,1,1,Italy,
299,Nuragus,White,Italy (Sardinia),,1,1,Italy,
300,Obeidi,White,Lebanon,,1,1,Lebanon,
301,Ojaleshi,Red,Georgia,,1,1,Georgia,
302,Öküzgözü,Red,Turkey (Elazığ),,1,1,Turkey,
303,Ormeasco,Red,Italy (Piedmont),Dolcetto (Liguria),1,1,Italy,Liguria's name for Dolcetto.
304,Ortega,White,Germany,,5,1,Canada,
305,Ortrugo,White,Italy (Emilia),,2,1,Italy,
306,País,Red,Spain,Listán Prieto; Mission; Criolla Chica; Negra Criolla,6,2,Bolivia; Chile,"The first vinifera grape planted in the Americas, in the 1500s."
307,Pálava,Pink,Czechia,,2,1,Czechia,
308,Palomino,White,Spain (Jerez),Listán Blanco,12,1,Spain,"The sherry grape; neutral by nature, transformed entirely by flor and oxidation."
309,Pamid,Red,Bulgaria,,1,1,Bulgaria,
310,Papazkarası,Red,Turkey (Thrace),,2,1,Turkey,
311,Parellada,White,Spain (Catalonia),,2,1,Spain,
312,Passerina,White,Italy (Marche),,3,1,Italy,
313,Pecorino,White,Italy (Marche),,3,1,Italy,
314,Pedro Ximénez,White,Spain (Andalusia),PX,5,1,Spain,
315,Pelaverga Piccolo,Red,Italy (Piedmont),Pelaverga,1,1,Italy,
316,Perricone,Red,Italy (Sicily),,2,1,Italy,
317,Persan,Red,France (Savoie),,0,0,,
318,Petit Manseng,White,France (SW),,2,1,France,
319,Petit Rouge,Red,Italy (Aosta),,2,1,Italy,
320,Petit Verdot,Red,France (Bordeaux),,3,3,Israel; Spain; United States,
321,Petite Arvine,White,Switzerland,,1,1,Switzerland,
322,Petite Sirah,Red,France,Durif,1,1,United States,
323,Picapoll,White,Spain (Catalonia),,1,1,Spain,
324,Picolit,White,Italy (Friuli),,1,1,Italy,
325,Piedirosso,Red,Italy (Campania),,5,1,Italy,
326,Pineau d'Aunis,Red,France (Loire),,2,1,France,
327,Pinela,White,Slovenia (Vipava),,1,1,Slovenia,
328,Pinot Blanc,White,France (Alsace),Weissburgunder; Pinot Bianco,10,4,France; Germany; Italy; Luxembourg,
329,Pinot Gris,Pink,France (Burgundy),Pinot Grigio; Grauburgunder; Szürkebarát; Ruländer,45,9,Belgium; Canada; France; Germany; Hungary; Italy; Romania; Switzerland; United States,"Pink-skinned mutation of Pinot Noir, vinified as white."
330,Pinot Noir,Red,France (Burgundy),Spätburgunder; Pinot Nero; Blauburgunder; Rulandské Modré,232,22,Argentina; Australia; Belgium; Brazil; Canada; Chile; Croatia; Czechia; France; Germany; Hungary; Italy; Japan; Liechtenstein; Mexico; Moldova; New Zealand; Russia; South Africa; Switzerland; United Kingdom; United States,Thin-skinned and site-sensitive; the reason Burgundy is mapped vineyard by vineyard.
331,Pinotage,Red,South Africa,,6,2,South Africa; Zimbabwe,"Pinot Noir x Cinsault, bred in 1925 at Stellenbosch."
332,Piquepoul Blanc,White,France (Languedoc),,1,1,France,
333,Plavac Mali,Red,Croatia,,4,1,Croatia,An offspring of Zinfandel and Dobričić.
334,Pošip,White,Croatia (Korčula),,1,1,Croatia,
335,Poulsard,Red,France (Jura),Ploussard,4,1,France,
336,Prié Blanc,White,Italy (Aosta),,1,1,Italy,
337,Prieto Picudo,Red,Spain (Castilla y León),,2,1,Spain,
338,Prokupac,Red,Serbia,,5,1,Serbia,
339,Pušipel,White,Hungary,,1,1,Croatia,Croatian name for Furmint.
340,Quebranta,Red,Peru,,3,1,Peru,A País x Negramoll crossing; mostly distilled into pisco.
341,Rabigato,White,Portugal (Douro),,1,1,Portugal,
342,Raboso Piave,Red,Italy (Veneto),Raboso; Friularo,5,1,Italy,
343,Ramisco,Red,Portugal (Colares),,1,1,Portugal,"Grown ungrafted in deep sand, which phylloxera cannot cross."
344,Rara Neagră,Red,Moldova,,3,1,Moldova,
345,Red Misket,Pink,Bulgaria,,2,1,Bulgaria,
346,Refosco dal Peduncolo Rosso,Red,Italy (Friuli),Refosco,3,1,Italy,
347,Regent,Red,Germany,,0,0,,Hybrid.
348,Ribolla Gialla,White,Italy (Friuli),Rebula,5,2,Italy; Slovenia,A cornerstone of the modern orange-wine movement.
