Country,Region,Wine,Classification,Style,Grapes
Australia,New South Wales,New England Australia,GI,Red,Shiraz
Australia,New South Wales,Orange,GI,White,Chardonnay; Sauvignon Blanc
Australia,New South Wales,Perricoota,GI,Red,Shiraz
Australia,New South Wales,Riverina,GI,Sweet White,Semillon
Australia,New South Wales,Shoalhaven Coast,GI,White,Chambourcin; Verdelho
Australia,New South Wales,Southern Highlands,GI,Sparkling,Chardonnay; Pinot Noir
Australia,New South Wales,Southern New South Wales,GI,Red,Shiraz
Australia,New South Wales,Swan Hill,GI,Red,Shiraz
Australia,New South Wales,Tumbarumba,GI,Sparkling,Chardonnay; Pinot Noir
Australia,New South Wales,Upper Hunter Valley,GI,White,Semillon; Chardonnay
Australia,Queensland,Granite Belt,GI,Red,Shiraz; Verdelho
Australia,Queensland,South Burnett,GI,White,Chardonnay; Verdelho
Australia,South Australia,Adelaide,GI,Red,Shiraz
Australia,South Australia,Adelaide Hills,GI,White,Sauvignon Blanc; Chardonnay
Australia,South Australia,Adelaide Plains,GI,Red,Shiraz
Australia,South Australia,Barossa,GI,Red,Shiraz; Grenache
Australia,South Australia,Barossa Valley,GI,Red,Shiraz; Grenache
Australia,South Australia,Clare Valley,GI,White,Riesling; Shiraz
Australia,South Australia,Coonawarra,GI,Red,Cabernet Sauvignon
Australia,South Australia,Currency Creek,GI,Red,Cabernet Sauvignon
Australia,South Australia,Eden Valley,GI,White,Riesling; Shiraz
Australia,South Australia,Far North,GI,Red,Shiraz
Australia,South Australia,Kangaroo Island,GI,Red,Cabernet Sauvignon
Australia,South Australia,Langhorne Creek,GI,Red,Cabernet Sauvignon; Shiraz
Australia,South Australia,Lenswood,GI,Red,Pinot Noir; Sauvignon Blanc
Australia,South Australia,Limestone Coast,GI,Red,Cabernet Sauvignon
Australia,South Australia,Lower Murray,GI,Red,Shiraz
Australia,South Australia,McLaren Vale,GI,Red,Shiraz; Grenache
Australia,South Australia,Mount Benson,GI,Red,Shiraz; Cabernet Sauvignon
Australia,South Australia,Mount Lofty Ranges,GI,White,Chardonnay
Australia,South Australia,Padthaway,GI,White,Chardonnay; Shiraz
Australia,South Australia,Piccadilly Valley,GI,Sparkling,Chardonnay; Pinot Noir
Australia,South Australia,Riverland,GI,Red,Shiraz; Chardonnay
Australia,South Australia,Robe,GI,Red,Cabernet Sauvignon
Australia,South Australia,Southern Fleurieu,GI,Red,Shiraz
Australia,South Australia,Southern Flinders Ranges,GI,Red,Shiraz
Australia,South Australia,Wrattonbully,GI,Red,Cabernet Sauvignon
Australia,Tasmania,Coal River Valley,Regional,White,Riesling; Pinot Noir
Australia,Tasmania,Derwent Valley,Regional,White,Riesling; Pinot Noir
Australia,Tasmania,East Coast Tasmania,Regional,Red,Pinot Noir
Australia,Tasmania,Huon Valley,Regional,Red,Pinot Noir
Australia,Tasmania,Pipers River,Regional,Sparkling,Chardonnay; Pinot Noir
Australia,Tasmania,Tamar Valley,Regional,White,Chardonnay; Pinot Noir
Australia,Tasmania,Tasmania,GI,Sparkling,Chardonnay; Pinot Noir
Australia,Victoria,Alpine Valleys,GI,Red,Sangiovese; Merlot
Australia,Victoria,Beechworth,GI,White,Chardonnay; Shiraz
Australia,Victoria,Bellarine Peninsula,GI,Red,Pinot Noir
Australia,Victoria,Central Victoria,GI,Red,Shiraz
Australia,Victoria,Geelong,GI,Red,Pinot Noir; Shiraz
Australia,Victoria,Gippsland,GI,Red,Pinot Noir; Chardonnay
Australia,Victoria,Glenrowan,GI,Fortified,Muscat; Shiraz
Australia,Victoria,Goulburn Valley,GI,Red,Shiraz; Marsanne
Australia,Victoria,Grampians,GI,Red,Shiraz
Australia,Victoria,Heathcote,GI,Red,Shiraz
Australia,Victoria,Henty,GI,White,Riesling; Chardonnay
Australia,Victoria,King Valley,GI,Sparkling,Glera; Sangiovese
Australia,Victoria,Macedon Ranges,GI,Sparkling,Chardonnay; Pinot Noir
Australia,Victoria,Mornington Peninsula,GI,Red,Pinot Noir; Chardonnay
Australia,Victoria,Murray Darling (Vic),GI,Red,Shiraz
Australia,Victoria,Nagambie Lakes,GI,White,Marsanne; Shiraz
Australia,Victoria,North East Victoria,GI,Fortified,Muscat à Petits Grains Rouge
Australia,Victoria,Port Phillip,GI,Red,Pinot Noir
Australia,Victoria,Pyrenees (Victoria),GI,Red,Shiraz; Cabernet Sauvignon
Australia,Victoria,Rutherglen,GI,Fortified,Muscat à Petits Grains Rouge
Australia,Victoria,Rutherglen Muscat,GI,Fortified,Muscat à Petits Grains Rouge
Australia,Victoria,Rutherglen Topaque,GI,Fortified,Muscadelle
Australia,Victoria,Strathbogie Ranges,GI,White,Chardonnay; Riesling
Australia,Victoria,Sunbury,GI,Red,Shiraz
Australia,Victoria,Swan Hill (Vic),GI,Red,Shiraz
Australia,Victoria,Upper Goulburn,GI,White,Riesling; Chardonnay
Australia,Victoria,Western Victoria,GI,Red,Shiraz
Australia,Victoria,Yarra Valley,GI,Red,Pinot Noir; Chardonnay
Australia,Western Australia,Albany,GI,Red,Pinot Noir; Shiraz
Australia,Western Australia,Blackwood Valley,GI,Red,Cabernet Sauvignon
Australia,Western Australia,Central Western Australia,GI,Red,Shiraz
Australia,Western Australia,Denmark (WA),GI,Red,Pinot Noir; Chardonnay
Australia,Western Australia,Eastern Plains Inland and North of Western Australia,GI,Red,Shiraz
Australia,Western Australia,Frankland River,GI,Red,Shiraz; Cabernet Sauvignon
Australia,Western Australia,Geographe,GI,Red,Shiraz; Cabernet Sauvignon
Australia,Western Australia,Great Southern,GI,White,Riesling; Shiraz
Australia,Western Australia,Greater Perth,GI,Red,Shiraz
Australia,Western Australia,Manjimup,GI,Red,Cabernet Sauvignon; Merlot
Australia,Western Australia,Margaret River,GI,Red,Cabernet Sauvignon; Chardonnay
Australia,Western Australia,Mount Barker,GI,White,Riesling; Shiraz
Australia,Western Australia,Peel,GI,Red,Shiraz
Australia,Western Australia,Pemberton,GI,Red,Pinot Noir; Chardonnay
Australia,Western Australia,Perth Hills,GI,Red,Shiraz
Australia,Western Australia,Porongurup,GI,White,Riesling
Australia,Western Australia,South West Australia,GI,Red,Cabernet Sauvignon
Australia,Western Australia,Swan District,GI,White,Chenin Blanc; Verdelho
Australia,Western Australia,Swan Valley,GI,Fortified,Verdelho; Grenache
Austria,Burgenland,Beerenauslese Burgenland,Prädikat,Sweet White,Welschriesling; Chardonnay
Austria,Burgenland,Eisenberg,DAC,Red,Blaufränkisch
Austria,Burgenland,Leithaberg,DAC,Red,Blaufränkisch
Austria,Burgenland,Mittelburgenland,DAC,Red,Blaufränkisch
Austria,Burgenland,Neusiedlersee,DAC,Red,Zweigelt
Austria,Burgenland,Neusiedlersee-Hügelland,DAC,White,Welschriesling
Austria,Burgenland,Rosalia,DAC,Red,Blaufränkisch; Zweigelt
Austria,Burgenland,Ruster Ausbruch,DAC,Sweet White,Furmint; Welschriesling
Austria,Burgenland,Ruster Hügelland,Regional,White,Furmint
Austria,Burgenland,Trockenbeerenauslese Burgenland,Prädikat,Sweet White,Welschriesling
Austria,National,Sekt Austria,PDO,Sparkling,Grüner Veltliner; Welschriesling
Austria,National,Strohwein / Schilfwein,Prädikat,Sweet White,Various
Austria,National,Sturm,Seasonal,White,Various
Austria,Niederösterreich,Carnuntum,DAC,Red,Zweigelt; Blaufränkisch
Austria,Niederösterreich,Kamptal,DAC,White,Grüner Veltliner; Riesling
Austria,Niederösterreich,Kamptal Ried Heiligenstein,Ried,White,Riesling
Austria,Niederösterreich,Klosterneuburg,Regional,White,Grüner Veltliner
Austria,Niederösterreich,Kremstal,DAC,White,Grüner Veltliner; Riesling
Austria,Niederösterreich,Kremstal Ried Gebling,Ried,White,Grüner Veltliner
Austria,Niederösterreich,Thermenregion,DAC,White,Zierfandler; Rotgipfler
Austria,Niederösterreich,Traisental,DAC,White,Grüner Veltliner
Austria,Niederösterreich,Wachau Ried Achleiten,Ried,White,Grüner Veltliner; Riesling
Austria,Niederösterreich,Wachau Ried Loibenberg,Ried,White,Grüner Veltliner
Austria,Niederösterreich,Wagram,DAC,White,Grüner Veltliner; Roter Veltliner
Austria,Niederösterreich,Weinviertel,DAC,White,Grüner Veltliner
Austria,Steiermark,Sausal,Regional,White,Sauvignon Blanc
Austria,Steiermark,Schilcher,DAC,Rosé,Blauer Wildbacher
Austria,Steiermark,Südsteiermark,DAC,White,Sauvignon Blanc; Morillon
Austria,Steiermark,Vulkanland Steiermark,DAC,White,Traminer; Welschriesling
Austria,Steiermark,Weststeiermark,DAC,Rosé,Blauer Wildbacher
Austria,Wachau,Federspiel,Vinea Wachau,White,Grüner Veltliner; Riesling
Austria,Wachau,Smaragd,Vinea Wachau,White,Grüner Veltliner; Riesling
Austria,Wachau,Steinfeder,Vinea Wachau,White,Grüner Veltliner
Austria,Wachau,Wachau,DAC,White,Grüner Veltliner; Riesling
Austria,Wien,Wiener Gemischter Satz,DAC,White,Field blend
Azerbaijan,Absheron,Absheron,Regional,Fortified,Bayanshira
Azerbaijan,Ganja-Qazakh,Ganja,Regional,Red,Madrasa; Bayanshira
Azerbaijan,Shamakhi,Shamakhi,Regional,Red,Madrasa
Belgium,Flanders,Hageland,PDO,White,Müller-Thurgau; Pinot Gris
Belgium,Flanders,Haspengouw,PDO,White,Chardonnay; Pinot Gris
Belgium,Flanders,Heuvelland,PDO,White,Müller-Thurgau
Belgium,Flanders,Vlaamse Landwijn,PGI,White,Chardonnay; Solaris
Belgium,Wallonia,Côtes de Sambre et Meuse,PDO,White,Chardonnay; Pinot Gris
Belgium,Wallonia,Côtes de Sambre et Meuse Rouge,PDO,Red,Pinot Noir
Belgium,Wallonia,Crémant de Wallonie,PDO,Sparkling,Chardonnay; Pinot Noir
Bhutan,Paro,Paro Valley,Regional,Red,Cabernet Sauvignon
Bolivia,Chuquisaca,Valle de Cinti,Regional,Red,Vischoqueña; Negra Criolla
Bolivia,La Paz,Valle de Sorata,Regional,Red,Cabernet Sauvignon
Bolivia,Tarija,Valle Central de Tarija,Regional,Red,Tannat; Cabernet Sauvignon
Bolivia,Tarija,Valle de la Concepción,Regional,Red,Tannat
Bosnia and Herzegovina,Herzegovina,Blatina,PDO,Red,Blatina
Bosnia and Herzegovina,Herzegovina,Žilavka Mostar,PDO,White,Žilavka
Brazil,Bahia & Pernambuco,Vale do São Francisco,Regional,Red,Syrah; Cabernet Sauvignon
Brazil,Minas Gerais,Serra da Mantiqueira,Regional,Red,Syrah
Brazil,Rio Grande do Sul,Altos de Pinto Bandeira,DO,Sparkling,Chardonnay; Pinot Noir
Brazil,Rio Grande do Sul,Altos Montes,IP,Red,Merlot
Brazil,Rio Grande do Sul,Campanha Gaúcha,IP,Red,Cabernet Sauvignon; Tannat
Brazil,Rio Grande do Sul,Farroupilha,IP,Sweet White,Moscato Bianco
Brazil,Rio Grande do Sul,Monte Belo,IP,Red,Merlot; Cabernet Sauvignon
Brazil,Rio Grande do Sul,Pinto Bandeira,IP,Sparkling,Chardonnay; Pinot Noir
Brazil,Rio Grande do Sul,Serra do Sudeste,Regional,Red,Pinot Noir; Cabernet Franc
Brazil,Rio Grande do Sul,Serra Gaúcha,Regional,Sparkling,Chardonnay; Pinot Noir; Moscato
Brazil,Rio Grande do Sul,Vale dos Vinhedos,DO,Red,Merlot; Cabernet Sauvignon
Brazil,Santa Catarina,Planalto Catarinense,Regional,Red,Sauvignon Blanc; Merlot
Brazil,Santa Catarina,Vales da Uva Goethe,IP,White,Goethe
Brazil,São Paulo,São Roque,Regional,Red,Bordô
Bulgaria,Black Sea,Black Sea Coast,PDO,White,Dimyat; Chardonnay
Bulgaria,Black Sea,Misket of Varna,PDO,White,Red Misket
Bulgaria,Black Sea,Pomorie,PDO,White,Dimyat
Bulgaria,Danubian Plain,Danubian Plain,PDO,Red,Gamza; Cabernet Sauvignon
Bulgaria,Danubian Plain,Lyaskovets,PDO,Sparkling,Chardonnay
Bulgaria,Danubian Plain,Novo Selo,PDO,Red,Gamza
Bulgaria,Danubian Plain,Suhindol,PDO,Red,Gamza
Bulgaria,National,Pamid,Grape wine,Red,Pamid
Bulgaria,National,Rubin,Grape wine,Red,Rubin
Bulgaria,Struma Valley,Early Melnik (Ranna Melnishka),PDO,Red,Early Melnik
Bulgaria,Struma Valley,Melnik,PDO,Red,Shiroka Melnishka Loza
Bulgaria,Thracian Valley,Mavrud of Asenovgrad,PDO,Red,Mavrud
Bulgaria,Thracian Valley,Sakar,PDO,Red,Merlot; Mavrud
Bulgaria,Thracian Valley,Sungurlare,PDO,White,Red Misket
Bulgaria,Thracian Valley,Thracian Lowlands,PDO,Red,Mavrud; Merlot; Cabernet Sauvignon
Cambodia,Battambang,Phnom Banan,Regional,Red,Shiraz
Canada,British Columbia,Black Sage Bench,BC GI,Red,Cabernet Sauvignon; Syrah
Canada,British Columbia,Cowichan Valley,BC GI,White,Ortega
Canada,British Columbia,Fraser Valley,BC GI,White,Pinot Gris; Bacchus
Canada,British Columbia,Golden Mile Bench,BC GI,Red,Merlot; Cabernet Franc
Canada,British Columbia,Gulf Islands,BC GI,White,Pinot Gris; Ortega
Canada,British Columbia,Kootenays,BC GI,White,Ortega
Canada,British Columbia,Lillooet,BC GI,Red,Pinot Noir
Canada,British Columbia,Naramata Bench,BC GI,White,Riesling; Pinot Gris
Canada,British Columbia,Okanagan Falls,BC GI,Red,Pinot Noir; Riesling
Canada,British Columbia,Okanagan Valley,BC GI,Red,Merlot; Pinot Noir; Cabernet Sauvignon
Canada,British Columbia,Osoyoos,BC GI,Red,Cabernet Sauvignon; Merlot
Canada,British Columbia,Shuswap,BC GI,White,Ortega
Canada,British Columbia,Similkameen Valley,BC GI,Red,Merlot; Syrah
Canada,British Columbia,Skaha Bench,BC GI,Red,Syrah; Pinot Gris
Canada,British Columbia,Thompson Valley,BC GI,White,Riesling
Canada,British Columbia,Vancouver Island,BC GI,White,Ortega; Pinot Gris
Canada,New Brunswick,Saint John River Valley,Regional,White,L'Acadie Blanc
Canada,Nova Scotia,Annapolis Valley,Regional,White,L'Acadie Blanc; Seyval Blanc
Canada,Nova Scotia,Gaspereau Valley,Regional,White,L'Acadie Blanc
Canada,Nova Scotia,Tidal Bay,Appellation,White,L'Acadie Blanc; Seyval Blanc; Vidal
Canada,Ontario,Beamsville Bench,VQA,White,Riesling; Chardonnay
Canada,Ontario,Creek Shores,VQA,White,Chardonnay
Canada,Ontario,Four Mile Creek,VQA,Red,Cabernet Franc; Merlot
Canada,Ontario,Icewine (Ontario),VQA,Sweet White,Vidal; Riesling
Canada,Ontario,Lake Erie North Shore,VQA,Red,Cabernet Franc; Merlot
Canada,Ontario,Lincoln Lakeshore,VQA,White,Riesling
Canada,Ontario,Niagara Lakeshore,VQA,Red,Cabernet Franc
Canada,Ontario,Niagara Peninsula,VQA,White,Riesling; Chardonnay; Cabernet Franc
Canada,Ontario,Niagara River,VQA,Red,Cabernet Franc
Canada,Ontario,Prince Edward County,VQA,Red,Pinot Noir; Chardonnay
Canada,Ontario,Short Hills Bench,VQA,Red,Pinot Noir
Canada,Ontario,St. David's Bench,VQA,Red,Cabernet Franc; Merlot
Canada,Ontario,Toronto,Regional,White,Riesling
Canada,Ontario,Twenty Mile Bench,VQA,White,Riesling; Chardonnay
Canada,Ontario,Vinemount Ridge,VQA,Red,Cabernet Franc
Canada,Quebec,Basses-Laurentides,IGP,White,Vidal
Canada,Quebec,Brome-Missisquoi,IGP,White,Vidal; Frontenac
Canada,Quebec,Vin de Glace du Québec,IGP,Sweet White,Vidal
Cape Verde,Fogo,Chã das Caldeiras,Regional,Red,Touriga Nacional
Chile,Aconcagua,Aconcagua Valley,DO,Red,Cabernet Sauvignon; Syrah
Chile,Aconcagua,Casablanca Valley,DO,White,Sauvignon Blanc; Chardonnay
Chile,Aconcagua,Leyda Valley,DO,Red,Pinot Noir; Sauvignon Blanc
Chile,Aconcagua,Panquehue,DO,Red,Syrah
Chile,Aconcagua,San Antonio Valley,DO,White,Sauvignon Blanc; Pinot Noir
Chile,Austral,Osorno,DO,Red,Pinot Noir; Chardonnay
Chile,Central Valley,Alto Maipo,DO,Red,Cabernet Sauvignon
Chile,Central Valley,Apalta,DO,Red,Carmenère; Syrah
Chile,Central Valley,Cachapoal Valley,DO,Red,Carmenère; Cabernet Sauvignon
Chile,Central Valley,Cauquenes,DO,Red,Carignan; País
Chile,Central Valley,Colchagua Valley,DO,Red,Carmenère; Cabernet Sauvignon
Chile,Central Valley,Curicó Valley,DO,Red,Cabernet Sauvignon; Sauvignon Blanc
Chile,Central Valley,Linares,DO,Red,País
Chile,Central Valley,Lolol,DO,Red,Carmenère
Chile,Central Valley,Maipo Valley,DO,Red,Cabernet Sauvignon
Chile,Central Valley,Marchigüe,DO,Red,Cabernet Sauvignon
Chile,Central Valley,Maule Valley,DO,Red,Carignan; Cabernet Sauvignon
Chile,Central Valley,Pencahue,DO,Red,Cabernet Sauvignon
Chile,Central Valley,Peralillo,DO,Red,Carmenère
Chile,Central Valley,Peumo,DO,Red,Carmenère
Chile,Central Valley,Puente Alto,DO,Red,Cabernet Sauvignon
Chile,Central Valley,Rapel Valley,DO,Red,Cabernet Sauvignon; Carmenère
Chile,Central Valley,Rengo,DO,Red,Cabernet Sauvignon
Chile,Central Valley,Requínoa,DO,Red,Cabernet Sauvignon
Chile,Central Valley,Sagrada Familia,DO,Red,Cabernet Sauvignon
Chile,Central Valley,San Clemente,DO,Red,Carignan
Chile,Central Valley,Talca,DO,Red,Cabernet Sauvignon
Chile,Coquimbo,Choapa Valley,DO,Red,Syrah; Cabernet Sauvignon
Chile,Coquimbo,Elqui Valley,DO,Red,Syrah; Carmenère
Chile,Coquimbo,Limarí Valley,DO,White,Chardonnay; Syrah
Chile,Coquimbo,Río Hurtado,DO,Red,Syrah
Chile,National,Carmenère,Grape wine,Red,Carmenère
Chile,National,País,Grape wine,Red,País
Chile,National,Pipeño,Traditional style,Red,País; Cinsault
Chile,Southern Chile,Bío Bío Valley,DO,White,Riesling; Pinot Noir
Chile,Southern Chile,Guarilihue,DO,Red,Cinsault
Chile,Southern Chile,Itata Valley,DO,Red,País; Cinsault
Chile,Southern Chile,Malleco Valley,DO,White,Chardonnay; Pinot Noir
Chile,Southern Chile,Traiguén,DO,White,Chardonnay
China,Gansu,Hexi Corridor,Regional,Red,Cabernet Sauvignon
China,Hebei,Changli,Regional,Red,Cabernet Sauvignon
China,Hebei,Huailai,Regional,Red,Cabernet Sauvignon; Longyan
China,Jilin,Tonghua,Regional,Sweet Red,Vitis amurensis
China,Liaoning,Huanren,Regional,Sweet White,Vidal
China,National,Marselan (China),Grape wine,Red,Marselan
China,Ningxia,Helan Mountain East,Regional,Red,Cabernet Sauvignon; Marselan
China,Ningxia,Qingtongxia,Regional,Red,Cabernet Sauvignon
China,Ningxia,Yongning,Regional,Red,Marselan
China,Shandong,Qingdao,Regional,White,Chardonnay
China,Shandong,Yantai-Penglai,Regional,Red,Cabernet Gernischt; Chardonnay
China,Shanxi,Shanxi,Regional,Red,Cabernet Sauvignon; Aglianico
China,Xinjiang,Manas,Regional,Red,Cabernet Sauvignon; Merlot
China,Xinjiang,Turpan Basin,Regional,Sweet White,Muscat; Cabernet Sauvignon
China,Xinjiang,Yanqi Basin,Regional,Red,Cabernet Sauvignon
China,Yunnan,Shangri-La (Deqin),Regional,Red,Cabernet Sauvignon; Cabernet Franc
Colombia,Boyacá,Villa de Leyva,Regional,White,Riesling; Sauvignon Blanc
Colombia,Valle del Cauca,Valle del Cauca,Regional,Red,Cabernet Sauvignon
Croatia,Dalmatia,Babić Primošten,PDO,Red,Babić
Croatia,Dalmatia,Bogdanuša Hvar,PDO,White,Bogdanuša
Croatia,Dalmatia,Dingač,PDO,Red,Plavac Mali
Croatia,Dalmatia,Grk Lumbarda,PDO,White,Grk
Croatia,Dalmatia,Neretva Valley,PDO,Red,Plavac Mali
Croatia,Dalmatia,Pelješac,PDO,Red,Plavac Mali
Croatia,Dalmatia,Pošip Čara-Smokvica,PDO,White,Pošip
Croatia,Dalmatia,Postup,PDO,Red,Plavac Mali
Croatia,Dalmatia,Prošek,Traditional,Sweet White,Bogdanuša; Maraština
Croatia,Dalmatia,Šibenik,PDO,Red,Babić
Croatia,Dalmatia,Vugava Vis,PDO,White,Vugava
Croatia,Istria & Kvarner,Buzet (Istria),PDO,White,Malvazija Istarska
Croatia,Istria & Kvarner,Malvazija Istarska,PDO,White,Malvazija Istarska
Croatia,Istria & Kvarner,Teran (Istria),PDO,Red,Refošk
Croatia,Istria & Kvarner,Žlahtina Vrbnik,PDO,White,Žlahtina
Croatia,Slavonia & Danube,Baranja,PDO,White,Graševina
Croatia,Slavonia & Danube,Đakovo,PDO,White,Graševina
Croatia,Slavonia & Danube,Erdut,PDO,White,Graševina
Croatia,Slavonia & Danube,Ilok Traminac,PDO,White,Traminac
Croatia,Slavonia & Danube,Kutjevo Graševina,PDO,White,Graševina
Croatia,Uplands,Plešivica Sparkling,PDO,Sparkling,Chardonnay; Pinot Noir
Croatia,Uplands,Zagorje-Međimurje,PDO,White,Pušipel
Cyprus,Limassol,Afames,Regional,Red,Mavro
Cyprus,Limassol,Commandaria,PDO,Sweet White,Xynisteri; Mavro
Cyprus,Limassol,Krasochoria Lemesou,PDO,Red,Mavro; Maratheftiko
Cyprus,Limassol,Pitsilia,PDO,White,Xynisteri
Cyprus,National,Xynisteri,Grape wine,White,Xynisteri
Cyprus,Paphos,Ambelitis,Regional,White,Xynisteri
Cyprus,Paphos,Laona Akamas,PDO,White,Xynisteri
Cyprus,Paphos,Vouni Panagias-Ampelitis,PDO,Red,Maratheftiko
Czechia,Bohemia,Litoměřice,PDO,White,Müller-Thurgau
Czechia,Bohemia,Mělník,PDO,Red,Svatovavřinecké; Rulandské Modré
Czechia,Moravia,Mikulov,PDO,White,Ryzlink Vlašský; Pálava
Czechia,Moravia,Mikulov Pálava,PDO,White,Pálava
Czechia,Moravia,Podluží,Regional,Red,Frankovka
Czechia,Moravia,Slámové Víno,Prädikat-style,Sweet White,Various
Czechia,Moravia,Slovácko,PDO,White,Müller-Thurgau; Ryzlink
Czechia,Moravia,Velké Pavlovice,PDO,Red,Frankovka; Svatovavřinecké
Czechia,Moravia,Znojmo,PDO,White,Veltlínské Zelené; Ryzlink Rýnský
Czechia,National,Svatomartinské,Seasonal,Red,Svatovavřinecké; Modrý Portugal
Denmark,Funen,Fyn,PGI,White,Solaris
Denmark,Jutland,Jylland,PGI,White,Solaris; Rondo
Denmark,Zealand,Danish Wine,PGI,White,Solaris; Rondo
Ecuador,Chota Valley,Chota Valley,Regional,Red,Cabernet Sauvignon; Syrah
Egypt,Alexandria,Alexandria,Regional,Red,Grenache; Bobal
Egypt,Nile Delta,Gianaclis (Abu Hummus),Regional,White,Bannati; Chardonnay
Egypt,Nile Delta,Karm Abu Sir,Regional,Red,Grenache
Ethiopia,Rift Valley,Butajira,Regional,White,Chenin Blanc
