country|region|wine|tier|style|grapes
France|Loire (Anjou-Saumur)|Coteaux de l'Aubance|AOC|Sweet White|Chenin Blanc
France|Loire (Anjou-Saumur)|Coteaux de Saumur|AOC|Sweet White|Chenin Blanc
France|Loire (Anjou-Saumur)|Saumur|AOC|Red|Cabernet Franc
France|Loire (Anjou-Saumur)|Saumur Blanc|AOC|White|Chenin Blanc
France|Loire (Anjou-Saumur)|Saumur-Champigny|AOC|Red|Cabernet Franc
France|Loire (Anjou-Saumur)|Saumur Brut|AOC|Sparkling|Chenin Blanc
France|Loire (Anjou-Saumur)|Crémant de Loire|AOC|Sparkling|Chenin Blanc; Cabernet Franc
France|Loire (Touraine)|Chinon|AOC|Red|Cabernet Franc
France|Loire (Touraine)|Bourgueil|AOC|Red|Cabernet Franc
France|Loire (Touraine)|Saint-Nicolas-de-Bourgueil|AOC|Red|Cabernet Franc
France|Loire (Touraine)|Vouvray|AOC|White|Chenin Blanc
France|Loire (Touraine)|Montlouis-sur-Loire|AOC|White|Chenin Blanc
France|Loire (Touraine)|Touraine|AOC|White|Sauvignon Blanc
France|Loire (Touraine)|Touraine-Amboise|AOC|Red|Côt; Cabernet Franc
France|Loire (Touraine)|Touraine-Azay-le-Rideau|AOC|White|Chenin Blanc
France|Loire (Touraine)|Touraine-Mesland|AOC|Red|Gamay; Côt
France|Loire (Touraine)|Touraine-Chenonceaux|AOC|White|Sauvignon Blanc
France|Loire (Touraine)|Touraine-Oisly|AOC|White|Sauvignon Blanc
France|Loire (Touraine)|Cheverny|AOC|White|Sauvignon Blanc; Chardonnay
France|Loire (Touraine)|Cour-Cheverny|AOC|White|Romorantin
France|Loire (Touraine)|Valençay|AOC|White|Sauvignon Blanc
France|Loire (Touraine)|Jasnières|AOC|White|Chenin Blanc
France|Loire (Touraine)|Coteaux du Loir|AOC|Red|Pineau d'Aunis
France|Loire (Touraine)|Coteaux du Vendômois|AOC|Rosé|Pineau d'Aunis
France|Loire (Central)|Sancerre|AOC|White|Sauvignon Blanc
France|Loire (Central)|Sancerre Rouge|AOC|Red|Pinot Noir
France|Loire (Central)|Pouilly-Fumé|AOC|White|Sauvignon Blanc
France|Loire (Central)|Pouilly-sur-Loire|AOC|White|Chasselas
France|Loire (Central)|Menetou-Salon|AOC|White|Sauvignon Blanc
France|Loire (Central)|Quincy|AOC|White|Sauvignon Blanc
France|Loire (Central)|Reuilly|AOC|White|Sauvignon Blanc
France|Loire (Central)|Coteaux du Giennois|AOC|White|Sauvignon Blanc
France|Loire (Central)|Châteaumeillant|AOC|Red|Gamay; Pinot Noir
France|Loire (Auvergne)|Saint-Pourçain|AOC|Red|Gamay; Pinot Noir
France|Loire (Auvergne)|Côtes d'Auvergne|AOC|Red|Gamay; Pinot Noir
France|Loire (Auvergne)|Côte Roannaise|AOC|Red|Gamay
France|Loire (Auvergne)|Côtes du Forez|AOC|Red|Gamay
France|Rhône (Northern)|Côte-Rôtie|AOC|Red|Syrah; Viognier
France|Rhône (Northern)|Condrieu|AOC|White|Viognier
France|Rhône (Northern)|Château-Grillet|AOC|White|Viognier
France|Rhône (Northern)|Saint-Joseph|AOC|Red|Syrah
France|Rhône (Northern)|Hermitage|AOC|Red|Syrah
France|Rhône (Northern)|Hermitage Blanc|AOC|White|Marsanne; Roussanne
France|Rhône (Northern)|Vin de Paille de l'Hermitage|AOC|Sweet White|Marsanne; Roussanne
France|Rhône (Northern)|Crozes-Hermitage|AOC|Red|Syrah
France|Rhône (Northern)|Cornas|AOC|Red|Syrah
France|Rhône (Northern)|Saint-Péray|AOC|White|Marsanne; Roussanne
France|Rhône (Northern)|Clairette de Die|AOC|Sparkling|Muscat Blanc; Clairette
France|Rhône (Northern)|Crémant de Die|AOC|Sparkling|Clairette
France|Rhône (Northern)|Châtillon-en-Diois|AOC|Red|Gamay
France|Rhône (Southern)|Châteauneuf-du-Pape|AOC|Red|Grenache; Syrah; Mourvèdre
France|Rhône (Southern)|Châteauneuf-du-Pape Blanc|AOC|White|Grenache Blanc; Roussanne
France|Rhône (Southern)|Gigondas|AOC|Red|Grenache; Syrah; Mourvèdre
France|Rhône (Southern)|Vacqueyras|AOC|Red|Grenache; Syrah
France|Rhône (Southern)|Vinsobres|AOC|Red|Grenache; Syrah
France|Rhône (Southern)|Rasteau|AOC|Red|Grenache
France|Rhône (Southern)|Rasteau Vin Doux Naturel|AOC|Fortified|Grenache
France|Rhône (Southern)|Cairanne|AOC|Red|Grenache; Syrah
France|Rhône (Southern)|Beaumes-de-Venise|AOC|Red|Grenache; Syrah
France|Rhône (Southern)|Muscat de Beaumes-de-Venise|AOC|Fortified|Muscat Blanc à Petits Grains
France|Rhône (Southern)|Lirac|AOC|Red|Grenache; Syrah; Mourvèdre
France|Rhône (Southern)|Tavel|AOC|Rosé|Grenache; Cinsault
France|Rhône (Southern)|Côtes du Rhône|AOC|Red|Grenache; Syrah; Carignan
France|Rhône (Southern)|Côtes du Rhône Villages|AOC|Red|Grenache; Syrah; Mourvèdre
France|Rhône (Southern)|Costières de Nîmes|AOC|Red|Grenache; Syrah
France|Rhône (Southern)|Ventoux|AOC|Red|Grenache; Syrah
France|Rhône (Southern)|Luberon|AOC|Rosé|Grenache; Syrah
France|Rhône (Southern)|Grignan-les-Adhémar|AOC|Red|Grenache; Syrah
France|Rhône (Southern)|Duché d'Uzès|AOC|Red|Syrah; Grenache
France|Rhône (Southern)|Clairette de Bellegarde|AOC|White|Clairette
France|Provence|Côtes de Provence|AOC|Rosé|Grenache; Cinsault; Syrah
France|Provence|Côtes de Provence Sainte-Victoire|AOC|Rosé|Grenache; Syrah
France|Provence|Côtes de Provence La Londe|AOC|Rosé|Grenache; Cinsault
France|Provence|Côtes de Provence Fréjus|AOC|Rosé|Grenache; Tibouren
France|Provence|Côtes de Provence Pierrefeu|AOC|Rosé|Grenache; Cinsault
France|Provence|Côtes de Provence Notre-Dame des Anges|AOC|Rosé|Grenache; Cinsault
France|Provence|Bandol|AOC|Red|Mourvèdre; Grenache
France|Provence|Cassis|AOC|White|Marsanne; Clairette
France|Provence|Bellet|AOC|White|Rolle; Braquet
France|Provence|Palette|AOC|Red|Mourvèdre; Grenache
France|Provence|Coteaux d'Aix-en-Provence|AOC|Rosé|Grenache; Syrah; Cinsault
France|Provence|Coteaux Varois en Provence|AOC|Rosé|Grenache; Syrah
France|Provence|Les Baux-de-Provence|AOC|Red|Grenache; Syrah; Mourvèdre
France|Provence|Pierrevert|AOC|Rosé|Grenache; Syrah
France|Languedoc|Languedoc|AOC|Red|Grenache; Syrah; Mourvèdre
France|Languedoc|Corbières|AOC|Red|Carignan; Grenache; Syrah
France|Languedoc|Corbières-Boutenac|AOC|Red|Carignan; Mourvèdre
France|Languedoc|Minervois|AOC|Red|Syrah; Grenache; Carignan
France|Languedoc|Minervois La Livinière|AOC|Red|Syrah; Grenache; Mourvèdre
France|Languedoc|Fitou|AOC|Red|Carignan; Grenache; Mourvèdre
France|Languedoc|Faugères|AOC|Red|Syrah; Grenache; Mourvèdre
France|Languedoc|Saint-Chinian|AOC|Red|Syrah; Grenache; Mourvèdre
France|Languedoc|Pic Saint-Loup|AOC|Red|Syrah; Grenache; Mourvèdre
France|Languedoc|La Clape|AOC|Red|Syrah; Grenache; Mourvèdre
France|Languedoc|Terrasses du Larzac|AOC|Red|Syrah; Grenache; Cinsault
France|Languedoc|Picpoul de Pinet|AOC|White|Piquepoul Blanc
France|Languedoc|Limoux|AOC|White|Chardonnay; Chenin Blanc; Mauzac
France|Languedoc|Blanquette de Limoux|AOC|Sparkling|Mauzac
France|Languedoc|Blanquette Méthode Ancestrale|AOC|Sparkling|Mauzac
France|Languedoc|Crémant de Limoux|AOC|Sparkling|Chardonnay; Chenin Blanc
France|Languedoc|Cabardès|AOC|Red|Syrah; Merlot; Cabernet Sauvignon
France|Languedoc|Malepère|AOC|Red|Merlot; Cabernet Franc
France|Languedoc|Clairette du Languedoc|AOC|White|Clairette
France|Languedoc|Grés de Montpellier|AOC|Red|Syrah; Grenache; Mourvèdre
France|Languedoc|Saint-Georges-d'Orques|AOC|Red|Syrah; Grenache
France|Languedoc|Cabrières|AOC|Rosé|Cinsault; Syrah
France|Languedoc|Muscat de Frontignan|AOC|Fortified|Muscat Blanc à Petits Grains
France|Languedoc|Muscat de Lunel|AOC|Fortified|Muscat Blanc à Petits Grains
France|Languedoc|Muscat de Mireval|AOC|Fortified|Muscat Blanc à Petits Grains
France|Languedoc|Muscat de Saint-Jean-de-Minervois|AOC|Fortified|Muscat Blanc à Petits Grains
France|Roussillon|Côtes du Roussillon|AOC|Red|Grenache; Syrah; Carignan
France|Roussillon|Côtes du Roussillon Villages|AOC|Red|Grenache; Carignan; Syrah
France|Roussillon|Collioure|AOC|Red|Grenache; Mourvèdre; Syrah
France|Roussillon|Banyuls|AOC|Fortified|Grenache
France|Roussillon|Banyuls Grand Cru|AOC Grand Cru|Fortified|Grenache
France|Roussillon|Maury|AOC|Fortified|Grenache
France|Roussillon|Rivesaltes|AOC|Fortified|Grenache; Macabeu
France|Roussillon|Muscat de Rivesaltes|AOC|Fortified|Muscat of Alexandria; Muscat Blanc
France|Southwest France|Cahors|AOC|Red|Malbec
France|Southwest France|Madiran|AOC|Red|Tannat
France|Southwest France|Pacherenc du Vic-Bilh|AOC|Sweet White|Petit Manseng; Gros Manseng
France|Southwest France|Jurançon|AOC|Sweet White|Petit Manseng; Gros Manseng
France|Southwest France|Jurançon Sec|AOC|White|Gros Manseng
France|Southwest France|Irouléguy|AOC|Red|Tannat; Cabernet Franc
France|Southwest France|Béarn|AOC|Red|Tannat; Cabernet Franc
France|Southwest France|Gaillac|AOC|Red|Duras; Braucol; Syrah
France|Southwest France|Fronton|AOC|Red|Négrette
France|Southwest France|Bergerac|AOC|Red|Merlot; Cabernet Sauvignon
France|Southwest France|Côtes de Bergerac|AOC|Red|Merlot; Cabernet Franc
France|Southwest France|Monbazillac|AOC|Sweet White|Sémillon; Sauvignon Blanc; Muscadelle
France|Southwest France|Saussignac|AOC|Sweet White|Sémillon; Sauvignon Blanc
France|Southwest France|Rosette|AOC|Sweet White|Sémillon; Sauvignon Blanc
France|Southwest France|Pécharmant|AOC|Red|Merlot; Cabernet Sauvignon
France|Southwest France|Montravel|AOC|White|Sémillon; Sauvignon Blanc
France|Southwest France|Haut-Montravel|AOC|Sweet White|Sémillon; Muscadelle
France|Southwest France|Côtes de Montravel|AOC|Sweet White|Sémillon
France|Southwest France|Buzet|AOC|Red|Merlot; Cabernet Sauvignon
France|Southwest France|Marcillac|AOC|Red|Fer Servadou
France|Southwest France|Côtes de Duras|AOC|White|Sauvignon Blanc
France|Southwest France|Côtes du Marmandais|AOC|Red|Merlot; Abouriou
France|Southwest France|Saint-Mont|AOC|Red|Tannat; Fer Servadou
France|Southwest France|Tursan|AOC|White|Baroque
France|Southwest France|Brulhois|AOC|Red|Tannat; Merlot
France|Southwest France|Estaing|AOC|Red|Fer Servadou; Gamay
France|Southwest France|Entraygues-Le Fel|AOC|White|Chenin Blanc
France|Southwest France|Floc de Gascogne|AOC|Fortified|Colombard; Ugni Blanc
France|Southwest France|Pineau des Charentes|AOC|Fortified|Ugni Blanc; Colombard
France|Alsace|Alsace|AOC|White|Riesling; Gewurztraminer; Pinot Gris
France|Alsace|Alsace Grand Cru|AOC Grand Cru|White|Riesling; Gewurztraminer; Pinot Gris; Muscat
France|Alsace|Alsace Vendanges Tardives|AOC|Sweet White|Riesling; Gewurztraminer; Pinot Gris
France|Alsace|Alsace Sélection de Grains Nobles|AOC|Sweet White|Riesling; Gewurztraminer; Pinot Gris
France|Alsace|Crémant d'Alsace|AOC|Sparkling|Pinot Blanc; Auxerrois; Chardonnay
France|Alsace|Edelzwicker|AOC|White|Field blend
France|Alsace|Gentil|AOC|White|Riesling; Gewurztraminer; Pinot Gris; Muscat
France|Alsace|Pinot Noir d'Alsace|AOC|Red|Pinot Noir
France|Jura|Arbois|AOC|Red|Poulsard; Trousseau; Pinot Noir
France|Jura|Arbois Pupillin|AOC|Red|Poulsard
France|Jura|Côtes du Jura|AOC|White|Savagnin; Chardonnay
France|Jura|Château-Chalon|AOC|Vin Jaune|Savagnin
France|Jura|L'Étoile|AOC|White|Chardonnay; Savagnin
France|Jura|Vin Jaune|AOC|Vin Jaune|Savagnin
France|Jura|Vin de Paille du Jura|AOC|Sweet White|Savagnin; Chardonnay; Poulsard
France|Jura|Macvin du Jura|AOC|Fortified|Chardonnay; Savagnin
France|Jura|Crémant du Jura|AOC|Sparkling|Chardonnay; Pinot Noir
France|Savoie & Bugey|Vin de Savoie|AOC|White|Jacquère; Altesse
France|Savoie & Bugey|Roussette de Savoie|AOC|White|Altesse
France|Savoie & Bugey|Seyssel|AOC|White|Altesse; Molette
France|Savoie & Bugey|Crépy|AOC|White|Chasselas
France|Savoie & Bugey|Chignin-Bergeron|AOC|White|Roussanne
France|Savoie & Bugey|Mondeuse de Savoie|AOC|Red|Mondeuse Noire
